epoch,cpu_temperature,cpu_usage,ram_usage,storage_usage
1735118471,39.433,0.0,9.9,46.70832819188822
1735122073,40.407,0.0,10.0,46.70872368766591
1735125674,42.842,13.1,9.9,46.709145549828776
1735129276,40.894,0.5,9.9,46.70955422879906
1735132878,45.764,0.0,10.0,46.70993654138415
1735136479,45.277,4.0,9.9,46.71062206739881
1735140081,48.199,0.3,9.9,46.7107538993247
1735143683,49.66,0.0,10.0,46.711202127872745
1735147285,51.608,1.2,9.9,46.738583618881286
1735150887,47.225,12.6,9.9,46.73900548104415
1735154488,45.764,0.5,9.9,46.73941416001443
1735158090,40.894,0.0,9.9,46.73983602217729
1735161692,36.998,0.5,10.0,46.74023151795498
1735165293,35.537,0.5,10.0,46.7405874641549
1735168895,36.998,0.2,10.0,46.741035692702944
1735172496,36.998,12.9,9.9,46.74144437167322
1735176098,36.998,0.5,9.9,46.742077164917525
1735179699,36.998,0.3,9.9,46.74249902708039
1735183300,36.998,0.5,10.0,46.742907706050666
1735186902,37.485,0.0,10.0,46.74331638502094
1735190503,36.511,0.2,9.9,46.74371188079863
1735194105,35.537,12.9,9.9,46.74410737657632
1735197706,35.537,0.2,9.9,46.74451605554659
1735201308,34.563,1.2,10.0,46.74492473451687
1735204909,35.05,0.3,10.0,46.74530704710197
1735208511,37.485,0.0,10.0,46.745768458842605
1735212113,37.972,0.2,9.9,46.746163954620286
1735215715,36.998,2.0,9.9,46.74658581678315
1735219317,37.485,11.1,10.0,46.747060411716376
1735222918,37.972,0.0,10.0,46.74748227387924
1735226519,37.972,0.3,10.0,46.74787776965693
1735230120,39.92,0.3,10.0,46.748286448627205
1735233722,41.381,0.0,9.8,46.74865557801972
1735237324,40.894,1.8,10.0,46.74907744018258
1735240925,38.946,7.6,10.0,46.74973659981206
1735244527,36.511,0.5,10.0,46.75013209558975
1735248129,35.537,0.5,10.0,46.75054077456002
1735251730,36.511,0.0,9.9,46.75093627033771
1735255332,36.024,0.3,10.0,46.7513317661154
1735258933,36.511,0.0,10.0,46.751753628278266
1735262535,35.537,12.9,10.0,46.75213594086336
1735266136,36.511,0.3,10.0,46.752570986218814
1735269738,35.05,0.3,10.0,46.75299284838169
1735273339,35.537,0.2,10.0,46.75340152735196
1735276942,35.537,0.0,10.0,46.75382338951483
1735280544,36.024,0.0,10.0,46.75421888529252
1735284146,35.537,0.0,10.0,46.75460119787761
1735287747,34.076,11.3,10.0,46.75503624323306
1735291349,36.024,0.2,10.0,46.75544492220335
1735294951,36.998,1.3,10.0,46.75585360117362
1735298552,36.024,0.0,10.0,46.75624909695131
1735302154,36.998,0.5,10.0,46.7566314095364
1735305755,36.511,0.2,10.1,46.757343301936245
1735309356,40.894,13.4,10.0,46.75773879771393
1735312958,45.277,0.3,10.0,46.7581474766842
1735316559,45.277,0.5,10.0,46.758569338847074
1735320160,47.225,0.5,10.1,46.75893846823958
1735323762,46.251,0.0,10.1,46.75936033040245
1735327364,40.894,0.3,9.9,46.75975582618013
1735330966,38.946,5.6,10.0,46.76016450515041
1735334568,37.972,6.6,10.0,46.76058636731328
1735338170,36.024,0.7,10.0,46.760995046283554
1735341771,36.024,0.3,10.6,46.76165420591303
1735345373,36.998,0.3,10.6,46.76243201427582
