epoch,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m
1734930000,20.049999237060547,89.0,22.82939338684082,0.0,0.1000000014901161,0.0,0.1000000014901161,80.0,100.0,1013.9000244140624,920.406005859375,1.4843180179595947,165.96372985839844,7.920000076293945
1734933600,19.799999237060547,91.0,22.610219955444336,0.0,0.1000000014901161,0.0,0.1000000014901161,3.0,91.0,1013.5,919.9674072265624,1.6099690198898315,153.4350128173828,6.119999885559082
1734937200,19.799999237060547,91.0,22.4664249420166,0.0,0.1000000014901161,0.0,0.1000000014901161,3.0,94.0,1013.4000244140624,919.876708984375,2.595996856689453,146.30990600585938,7.920000076293945
1734940800,19.799999237060547,92.0,22.51513290405273,0.0,0.0,0.0,0.0,3.0,87.0,1013.7999877929688,920.23974609375,2.811689853668213,140.19447326660156,8.640000343322754
1734944400,19.799999237060547,92.0,22.441144943237305,1.0,0.0,0.0,0.0,3.0,99.0,1014.7000122070312,921.0567016601562,3.3190360069274902,139.39878845214844,9.359999656677246
1734948000,20.600000381469727,89.0,22.991161346435547,1.0,0.0,0.0,0.0,3.0,97.0,1014.9000244140624,921.4790649414062,5.86037540435791,137.48959350585938,14.039999961853027
1734951600,21.850000381469727,82.0,23.60732078552246,1.0,0.0,0.0,0.0,3.0,100.0,1015.0999755859376,922.034423828125,9.931041717529297,136.46873474121094,23.399999618530277
1734955200,23.049999237060547,77.0,24.729400634765625,1.0,0.0,0.0,0.0,3.0,100.0,1015.2000122070312,922.4813842773438,10.972620010375977,138.9910125732422,25.559999465942383
1734958800,23.549999237060547,74.0,25.035436630249023,1.0,0.0,0.0,0.0,3.0,100.0,1015.0999755859376,922.5379028320312,11.808877944946287,142.43133544921875,27.71999931335449
1734962400,25.200000762939453,66.0,27.39512825012207,1.0,0.0,0.0,0.0,3.0,100.0,1014.7000122070312,922.6578979492188,11.486200332641602,147.80429077148438,27.71999931335449
1734966000,26.149999618530277,62.0,28.30424118041992,1.0,0.0,0.0,0.0,3.0,100.0,1014.0999755859376,922.38818359375,12.879752159118652,153.4350128173828,30.599998474121094
1734969600,26.600000381469727,61.0,30.11265182495117,1.0,0.0,0.0,0.0,3.0,100.0,1013.5,921.9725341796876,8.31124496459961,162.34979248046875,24.479999542236328
1734973200,27.25,57.0,29.77786636352539,1.0,0.0,0.0,0.0,3.0,100.0,1012.7000122070312,921.431640625,7.895416259765625,155.7722625732422,20.15999984741211
