2024-10-02 20:21:19,799 - INFO - Connected to the database successfully.
2024-10-03 23:24:26,805 - INFO - Data inserted successfully: epoch=1727997786, distance_cm=6303
2024-10-03 23:24:27,836 - INFO - Data inserted successfully: epoch=1727997806, distance_cm=6295
2024-10-03 23:24:28,866 - INFO - Data inserted successfully: epoch=1727997826, distance_cm=3662
2024-10-03 23:24:29,905 - INFO - Data inserted successfully: epoch=1727997846, distance_cm=6290
2024-10-03 23:25:14,984 - INFO - Image inserted successfully: epoch=03-10-2024_20:25:12.jpg, image_path=images/2024/10/3
2024-10-03 23:26:27,038 - INFO - Data inserted successfully: epoch=1727997886, distance_cm=6295
2024-10-03 23:26:28,069 - INFO - Data inserted successfully: epoch=1727997906, distance_cm=3665
2024-10-03 23:26:29,100 - INFO - Data inserted successfully: epoch=1727997927, distance_cm=3665
2024-10-03 23:26:30,130 - INFO - Data inserted successfully: epoch=1727997947, distance_cm=6298
2024-10-03 23:26:31,174 - INFO - Data inserted successfully: epoch=1727997967, distance_cm=6294
2024-10-03 23:28:28,236 - INFO - Data inserted successfully: epoch=1727998007, distance_cm=3665
2024-10-03 23:28:29,267 - INFO - Data inserted successfully: epoch=1727998027, distance_cm=3662
2024-10-03 23:28:30,297 - INFO - Data inserted successfully: epoch=1727998048, distance_cm=6300
2024-10-03 23:28:31,328 - INFO - Data inserted successfully: epoch=1727998068, distance_cm=3663
2024-10-03 23:28:32,367 - INFO - Data inserted successfully: epoch=1727998088, distance_cm=6290
2024-10-03 23:28:37,428 - INFO - Image inserted successfully: epoch=03-10-2024_20:28:34.jpg, image_path=images/2024/10/3
2024-10-03 23:30:29,491 - INFO - Data inserted successfully: epoch=1727998128, distance_cm=6298
2024-10-03 23:30:30,522 - INFO - Data inserted successfully: epoch=1727998148, distance_cm=6294
2024-10-03 23:30:31,552 - INFO - Data inserted successfully: epoch=1727998169, distance_cm=6286
2024-10-03 23:30:32,583 - INFO - Data inserted successfully: epoch=1727998189, distance_cm=3660
2024-10-03 23:30:33,638 - INFO - Data inserted successfully: epoch=1727998209, distance_cm=6292
2024-10-03 23:31:59,715 - INFO - Image inserted successfully: epoch=03-10-2024_20:31:56.jpg, image_path=images/2024/10/3
2024-10-03 23:32:30,766 - INFO - Data inserted successfully: epoch=1727998249, distance_cm=3664
2024-10-03 23:32:31,794 - INFO - Data inserted successfully: epoch=1727998269, distance_cm=3663
2024-10-03 23:32:32,824 - INFO - Data inserted successfully: epoch=1727998289, distance_cm=6300
2024-10-03 23:32:33,855 - INFO - Data inserted successfully: epoch=1727998310, distance_cm=3662
2024-10-03 23:32:34,885 - INFO - Data inserted successfully: epoch=1727998330, distance_cm=3668
2024-10-03 23:34:30,947 - INFO - Data inserted successfully: epoch=1727998370, distance_cm=4883
2024-10-03 23:34:31,977 - INFO - Data inserted successfully: epoch=1727998390, distance_cm=6298
2024-10-03 23:34:33,008 - INFO - Data inserted successfully: epoch=1727998410, distance_cm=3664
2024-10-03 23:34:34,038 - INFO - Data inserted successfully: epoch=1727998431, distance_cm=6290
2024-10-03 23:34:35,066 - INFO - Data inserted successfully: epoch=1727998451, distance_cm=4901
2024-10-03 23:35:21,137 - INFO - Image inserted successfully: epoch=03-10-2024_20:35:17.jpg, image_path=images/2024/10/3
2024-10-03 23:36:32,210 - INFO - Data inserted successfully: epoch=1727998491, distance_cm=3658
2024-10-03 23:36:33,241 - INFO - Data inserted successfully: epoch=1727998511, distance_cm=6283
2024-10-03 23:36:34,271 - INFO - Data inserted successfully: epoch=1727998531, distance_cm=4881
2024-10-03 23:36:35,324 - INFO - Data inserted successfully: epoch=1727998551, distance_cm=6292
2024-10-03 23:36:36,371 - INFO - Data inserted successfully: epoch=1727998572, distance_cm=6301
2024-10-03 23:38:33,433 - INFO - Data inserted successfully: epoch=1727998612, distance_cm=3667
2024-10-03 23:38:34,463 - INFO - Data inserted successfully: epoch=1727998632, distance_cm=3661
2024-10-03 23:38:35,499 - INFO - Data inserted successfully: epoch=1727998652, distance_cm=3687
2024-10-03 23:38:36,563 - INFO - Data inserted successfully: epoch=1727998672, distance_cm=6301
2024-10-03 23:38:37,588 - INFO - Data inserted successfully: epoch=1727998693, distance_cm=6304
2024-10-03 23:38:43,647 - INFO - Image inserted successfully: epoch=03-10-2024_20:38:39.jpg, image_path=images/2024/10/3
2024-10-03 23:40:34,729 - INFO - Data inserted successfully: epoch=1727998733, distance_cm=4899
2024-10-03 23:40:35,760 - INFO - Data inserted successfully: epoch=1727998753, distance_cm=3680
2024-10-03 23:40:36,790 - INFO - Data inserted successfully: epoch=1727998773, distance_cm=6304
2024-10-03 23:40:37,821 - INFO - Data inserted successfully: epoch=1727998793, distance_cm=4886
2024-10-03 23:40:38,852 - INFO - Data inserted successfully: epoch=1727998813, distance_cm=3665
2024-10-03 23:42:04,970 - INFO - Image inserted successfully: epoch=03-10-2024_20:42:01.jpg, image_path=images/2024/10/3
2024-10-03 23:42:35,020 - INFO - Data inserted successfully: epoch=1727998854, distance_cm=3664
2024-10-03 23:42:36,051 - INFO - Data inserted successfully: epoch=1727998874, distance_cm=3668
2024-10-03 23:42:37,081 - INFO - Data inserted successfully: epoch=1727998894, distance_cm=3665
2024-10-03 23:42:38,112 - INFO - Data inserted successfully: epoch=1727998914, distance_cm=6299
2024-10-03 23:42:39,142 - INFO - Data inserted successfully: epoch=1727998934, distance_cm=3667
2024-10-03 23:44:36,210 - INFO - Data inserted successfully: epoch=1727998975, distance_cm=6304
2024-10-03 23:44:37,240 - INFO - Data inserted successfully: epoch=1727998995, distance_cm=6310
