log_time,image_time,log_image_difference
2024-10-06 04:20:18.488,2024-10-06 04:20:15,3.488
2024-10-06 04:23:40.017,2024-10-06 04:23:37,3.017
2024-10-06 04:27:02.436,2024-10-06 04:26:58,4.436
2024-10-06 04:30:23.701,2024-10-06 04:30:20,3.701
2024-10-06 04:33:45.180,2024-10-06 04:33:42,3.18
2024-10-06 04:37:07.590,2024-10-06 04:37:04,3.59
2024-10-06 04:40:28.888,2024-10-06 04:40:26,2.888
2024-10-06 04:43:50.268,2024-10-06 04:43:47,3.268
2024-10-06 04:47:12.678,2024-10-06 04:47:09,3.678
2024-10-06 04:50:34.949,2024-10-06 04:50:31,3.949
2024-10-06 04:53:56.395,2024-10-06 04:53:53,3.395
2024-10-06 04:57:18.822,2024-10-06 04:57:15,3.822
2024-10-06 05:00:40.169,2024-10-06 05:00:36,4.169
2024-10-06 05:04:04.699,2024-10-06 05:03:58,6.699
2024-10-06 05:07:24.133,2024-10-06 05:07:20,4.133
2024-10-06 05:10:45.399,2024-10-06 05:10:42,3.399
2024-10-06 05:14:07.827,2024-10-06 05:14:04,3.827
2024-10-06 05:17:29.257,2024-10-06 05:17:25,4.257
2024-10-06 05:20:50.547,2024-10-06 05:20:47,3.547
2024-10-06 05:24:12.966,2024-10-06 05:24:09,3.966
2024-10-06 05:27:34.421,2024-10-06 05:27:31,3.421
2024-10-06 05:30:55.678,2024-10-06 05:30:52,3.678
2024-10-06 05:34:18.098,2024-10-06 05:34:14,4.098
2024-10-06 05:37:39.519,2024-10-06 05:37:36,3.519
2024-10-06 05:41:00.784,2024-10-06 05:40:58,2.784
2024-10-06 05:44:23.211,2024-10-06 05:44:20,3.211
2024-10-06 05:47:45.614,2024-10-06 05:47:42,3.614
2024-10-06 05:51:06.879,2024-10-06 05:51:03,3.879
2024-10-06 05:54:29.297,2024-10-06 05:54:25,4.297
2024-10-06 05:57:50.801,2024-10-06 05:57:47,3.801
2024-10-06 06:01:13.089,2024-10-06 06:01:09,4.089
2024-10-06 06:04:34.461,2024-10-06 06:04:31,3.461
2024-10-06 06:07:55.932,2024-10-06 06:07:52,3.932
2024-10-06 06:11:18.194,2024-10-06 06:11:14,4.194
2024-10-06 06:14:39.616,2024-10-06 06:14:36,3.616
2024-10-06 06:18:01.029,2024-10-06 06:17:58,3.029
2024-10-06 06:21:23.332,2024-10-06 06:21:20,3.332
2024-10-06 06:24:44.736,2024-10-06 06:24:41,3.736
2024-10-06 06:28:06.248,2024-10-06 06:28:03,3.248
2024-10-06 06:31:28.535,2024-10-06 06:31:25,3.535
2024-10-06 06:34:49.957,2024-10-06 06:34:47,2.957
2024-10-06 06:38:11.370,2024-10-06 06:38:09,2.37
2024-10-06 06:41:34.646,2024-10-06 06:41:30,4.646
2024-10-06 06:44:56.075,2024-10-06 06:44:52,4.075
2024-10-06 06:48:17.497,2024-10-06 06:48:14,3.497
2024-10-06 06:51:39.751,2024-10-06 06:51:36,3.751
2024-10-06 06:55:01.173,2024-10-06 06:54:58,3.173
2024-10-06 06:58:23.609,2024-10-06 06:58:19,4.609
2024-10-06 07:01:44.849,2024-10-06 07:01:41,3.849
2024-10-06 07:05:06.287,2024-10-06 07:05:03,3.287
2024-10-06 07:08:30.717,2024-10-06 07:08:25,5.717
2024-10-06 07:11:49.995,2024-10-06 07:11:47,2.995
2024-10-06 07:15:11.450,2024-10-06 07:15:08,3.45
2024-10-06 07:18:33.885,2024-10-06 07:18:30,3.885
2024-10-06 07:21:55.233,2024-10-06 07:21:52,3.233
2024-10-06 07:25:16.662,2024-10-06 07:25:14,2.662
2024-10-06 07:28:39.098,2024-10-06 07:28:36,3.098
2024-10-06 07:32:01.369,2024-10-06 07:31:57,4.369
2024-10-06 07:35:22.799,2024-10-06 07:35:19,3.799
2024-10-06 07:38:45.201,2024-10-06 07:38:41,4.201
2024-10-06 07:42:06.466,2024-10-06 07:42:03,3.466
2024-10-06 07:45:27.879,2024-10-06 07:45:24,3.879
2024-10-06 07:48:50.307,2024-10-06 07:48:46,4.307
2024-10-06 07:52:11.563,2024-10-06 07:52:08,3.563
2024-10-06 07:55:33.009,2024-10-06 07:55:30,3.009
2024-10-06 07:58:55.503,2024-10-06 07:58:52,3.503
2024-10-06 08:02:16.793,2024-10-06 08:02:13,3.793
2024-10-06 08:05:38.240,2024-10-06 08:05:35,3.24
2024-10-06 08:09:00.659,2024-10-06 08:08:57,3.659
2024-10-06 08:12:21.924,2024-10-06 08:12:19,2.924
2024-10-06 08:15:43.346,2024-10-06 08:15:40,3.346
2024-10-06 08:19:05.740,2024-10-06 08:19:02,3.74
2024-10-06 08:22:28.011,2024-10-06 08:22:24,4.011
2024-10-06 08:25:49.434,2024-10-06 08:25:46,3.434
2024-10-06 08:29:11.920,2024-10-06 08:29:08,3.92
2024-10-06 08:32:33.160,2024-10-06 08:32:29,4.16
2024-10-06 08:35:54.573,2024-10-06 08:35:51,3.573
2024-10-06 08:39:17.000,2024-10-06 08:39:13,4.0
2024-10-06 08:42:38.381,2024-10-06 08:42:35,3.381
2024-10-06 08:45:59.852,2024-10-06 08:45:57,2.852
2024-10-06 08:49:22.386,2024-10-06 08:49:18,4.386
2024-10-06 08:52:43.659,2024-10-06 08:52:40,3.659
2024-10-06 08:56:08.164,2024-10-06 08:56:02,6.164
2024-10-06 08:59:27.575,2024-10-06 08:59:24,3.575
2024-10-06 09:02:48.839,2024-10-06 09:02:46,2.839
2024-10-06 09:06:11.267,2024-10-06 09:06:07,4.267
2024-10-06 09:09:32.688,2024-10-06 09:09:29,3.688
2024-10-06 09:12:53.961,2024-10-06 09:12:51,2.961
2024-10-06 09:16:16.371,2024-10-06 09:16:13,3.371
2024-10-06 09:19:37.818,2024-10-06 09:19:35,2.818
2024-10-06 09:23:00.203,2024-10-06 09:22:56,4.203
2024-10-06 09:26:22.606,2024-10-06 09:26:18,4.606
2024-10-06 09:29:44.011,2024-10-06 09:29:40,4.011
2024-10-06 09:33:06.273,2024-10-06 09:33:02,4.273
2024-10-06 09:36:27.695,2024-10-06 09:36:24,3.695
2024-10-06 09:39:49.092,2024-10-06 09:39:46,3.092
2024-10-06 09:43:11.354,2024-10-06 09:43:07,4.354
2024-10-06 09:46:32.775,2024-10-06 09:46:29,3.775
2024-10-06 09:49:54.230,2024-10-06 09:49:51,3.23
2024-10-06 09:53:16.517,2024-10-06 09:53:13,3.517
2024-10-06 09:56:37.947,2024-10-06 09:56:35,2.947
2024-10-06 09:59:59.368,2024-10-06 09:59:56,3.368
2024-10-06 10:03:21.639,2024-10-06 10:03:18,3.639
2024-10-06 10:06:44.050,2024-10-06 10:06:40,4.05
2024-10-06 10:10:06.461,2024-10-06 10:10:02,4.461
2024-10-06 10:13:27.742,2024-10-06 10:13:24,3.742
2024-10-06 10:16:49.172,2024-10-06 10:16:46,3.172
2024-10-06 10:20:11.772,2024-10-06 10:20:07,4.772
2024-10-06 10:23:33.053,2024-10-06 10:23:29,4.053
2024-10-06 10:26:55.472,2024-10-06 10:26:51,4.472
2024-10-06 10:30:16.861,2024-10-06 10:30:13,3.861
2024-10-06 10:33:38.134,2024-10-06 10:33:35,3.134
2024-10-06 10:37:00.808,2024-10-06 10:36:57,3.808
2024-10-06 10:40:22.246,2024-10-06 10:40:18,4.246
2024-10-06 10:43:43.494,2024-10-06 10:43:40,3.494
2024-10-06 10:47:05.954,2024-10-06 10:47:02,3.954
2024-10-06 10:50:27.368,2024-10-06 10:50:24,3.368
2024-10-06 10:53:48.641,2024-10-06 10:53:46,2.641
2024-10-06 10:57:11.052,2024-10-06 10:57:07,4.052
2024-10-06 11:00:33.455,2024-10-06 11:00:29,4.455
2024-10-06 11:03:54.720,2024-10-06 11:03:51,3.72
